,image,Company,Model,RAM,ROM,Expandable,Display_cm,Front_Camera_MP,Rear_Camera_MP,Battery_mAh,Processor,Warranty,Rating,Number_of_ratings,Reviews,Price_rs
25,0.0,realme,"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)",4.0,64.0,_,17.12,_,32,6300.0,_,_,4.3,1926.0,76.0,8119.0
26,0.0,Samsung,"Samsung M06 5G (Sage Green, 128 GB)",4.0,128.0,_,17.02,_,50,5000.0,_,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.0,993.0,63.0,10226.0
27,0.0,OPPO,"OPPO A3x (Nebula Red, 64 GB)",4.0,64.0,1,16.94,5,8,5100.0,6s 4G Gen1 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.1,1804.0,87.0,9499.0
28,0.0,REDMI,"REDMI A5 (Just Black, 128 GB)",4.0,128.0,2,17.48,8,32,5200.0,T7250 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2,4537.0,228.0,7999.0
29,0.0,REDMI,"REDMI A4 (Sparkle Purple, 64 GB)",4.0,64.0,_,17.48,_,50,5160.0,_,1 Year,4.3,13706.0,577.0,9240.0
30,0.0,Samsung,"Samsung M05 (Mint Green, 64 GB)",4.0,64.0,_,17.02,_,50,5000.0,_,_,4.3,4088.0,165.0,8290.0
31,0.0,Samsung,"Samsung M06 5G (Blazing Black, 128 GB)",4.0,128.0,_,17.02,_,50,5000.0,_,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.0,993.0,63.0,10493.0
32,0.0,Ai+,"Ai+ Nova 5G (Purple, 128 GB)",8.0,128.0,1,17.13,5,50,5000.0,T8200 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,3.9,3584.0,313.0,9499.0
33,0.0,Tecno,"Tecno Spark 30C 5G (Aurora Cloud, 64 GB)",4.0,64.0,1,16.94,8,48,5000.0,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,4.1,1187.0,53.0,9999.0
34,0.0,POCO,"POCO M6 5G (Polaris Green, 64 GB)",4.0,64.0,1,17.12,5,50,5000.0,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,155335.0,7464.0,8999.0
35,0.0,REDMI,"REDMI A3X (Midnight Black, 128 GB)",4.0,128.0,1,17.04,5,8,5000.0,_,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,10328.0,429.0,8999.0
36,0.0,REDMI,"REDMI A3X (Olive Green, 128 GB)",4.0,128.0,1,17.04,5,8,5000.0,_,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,10328.0,429.0,8999.0
37,0.0,POCO,"POCO M6 5G (Orion Blue, 64 GB)",4.0,64.0,1,17.12,5,50,5000.0,Mediatek Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,155335.0,7464.0,8999.0
38,0.0,Motorola,"Motorola G32 (Satin Silver, 64 GB)",4.0,64.0,_,16.51,16,50,5000.0,Qualcomm Snapdragon 680 Processor,1 Year on Handset and 6 Months on Accessories,4.2,47079.0,3961.0,8499.0
39,0.0,Samsung,"Samsung Galaxy A06 5G (Light Gray, 128 GB)",4.0,128.0,1,17.02,2,50,5000.0,MEDIATEK Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.1,2604.0,157.0,11490.0
40,0.0,Tecno,"Tecno Pop 9 5G (Azure Sky, 128 GB)",8.0,128.0,1,16.94,8,48,5000.0,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,4.2,1822.0,93.0,9529.0
41,0.0,Ai+,"Ai+ Nova 5G (Green, 128 GB)",8.0,128.0,1,17.13,5,50,5000.0,T8200 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,3.9,3584.0,313.0,9499.0
